Size [kB],Cache [ns],No Cache [ns]
0,490,518
0,583,524
0,649,597
0,769,510
0,851,790
0,1037,897
0,1099,1038
1,1285,1167
1,1438,1377
1,1687,1593
1,1975,1768
1,2292,1977
2,2649,2425
2,2996,2586
2,3500,3153
3,4624,3320
3,4491,4233
4,5174,4802
4,7065,5596
5,8032,6412
6,7841,7377
7,9273,10701
8,16403,9810
9,11973,11270
11,16490,12965
13,16001,18819
15,21113,17187
17,21055,24942
19,28555,22708
22,27694,26090
26,32027,32344
30,36646,39463
34,42274,39650
40,48630,45604
46,55872,52523
53,64157,73530
60,73812,73812
70,85015,85567
80,97813,100888
92,149695,99534
106,155324,119907
122,148616,167007
141,216832,186751
162,170578,169248
186,194580,229184
214,247871,223824
246,259031,257393
283,344044,296066
326,409344,340427
375,399817,391513
431,450215,498042
496,655966,517549
570,595455,755830
656,718183,869078
754,946030,919462
867,905624,905605
997,1041391,1245070
1147,1197636,1197544
1319,1377219,1377658
1517,1730006,1600310
1745,1854146,2064668
2007,2642875,2413838
2308,2791869,3026423
2654,2770088,2786642
3052,3410441,3203228
3510,3953453,3684092
4037,4385650,4402998
4642,4973193,4875452
5339,6372687,5601908
6140,6508688,6703638
7061,7839689,7370506
8120,9138565,8673774
9338,10984471,9809317
10739,11803464,12570358
12350,13002029,13047192
14202,15557675,16031960
16333,18078462,17955246
18783,19960742,19797066
21600,24432440,23400602
24840,27275618,28165232
28566,32666728,31078342
32851,35753960,37451980
37779,41102852,42273488
43446,47657520,48737608
49963,54468844,56991144
57458,62278476,65425380
66076,73687832,72488776
75988,84341872,84871048
87386,98774256,98749992
100494,109106608,110486392
115568,124962448,129996096
132904,144499920,152925216
152839,167594240,168911408
175765,192406512,194135232
202130,227903456,226053792
232450,253992656,254492256
267317,294446048,295333056
307415,338593472,342895072
353527,388766208,393346080
406557,453913952,660946368
