Size [kB],Cache,No Cache
0,1128,1192
0,1340,1206
0,1492,1372
0,1768,1172
0,1958,1818
0,2384,2062
0,2528,2388
1,2956,2684
1,3308,3168
1,3880,3664
1,4542,4066
1,5272,4548
2,6092,5578
2,6890,5948
2,8050,7252
3,10636,7636
3,10330,9736
4,11900,11044
4,16250,12870
5,18474,14748
6,18034,16968
7,21328,24612
8,37728,22564
9,27538,25922
11,37926,29820
13,36802,43284
15,48560,39530
17,48426,57366
19,65676,52228
22,63696,60008
26,73662,74392
30,84286,90766
34,97230,91194
40,111850,104890
46,128506,120804
53,147562,169118
60,169768,169768
70,195534,196804
80,224970,232042
92,344298,228928
106,357246,275786
122,341816,384116
141,498714,429528
162,392330,389270
186,447534,527124
214,570104,514796
246,595772,592004
283,791302,680952
326,941490,782982
375,919578,900480
431,1035494,1145496
496,1508722,1190362
570,1369546,1738408
656,1651820,1998880
754,2175870,2114762
867,2082934,2082892
997,2395200,2863660
1147,2754564,2754352
1319,3167604,3168614
1517,3979014,3680714
1745,4264536,4748736
2007,6078612,5551826
2308,6421298,6960772
2654,6371202,6409276
3052,7844014,7367424
3510,9092942,8473412
4037,10086996,10126896
4642,11438344,11213538
5339,14657180,12884388
6140,14969982,15418368
7061,18031284,16952164
8120,21018698,19949680
9338,25264282,22561428
10739,27147966,28911822
12350,29904666,30008540
14202,35782652,36873508
16333,41580460,41297066
18783,45909702,45533252
21600,56194612,53821382
24840,62733918,64780032
28566,75133468,71480186
32851,82234102,86139554
37779,94536560,97229024
43446,109612298,112096494
49963,125278332,131079628
57458,143240500,150478370
66076,169482022,166724180
75988,193986312,195203408
87386,227180790,227124976
100494,250945178,254118698
115568,287413640,298991020
132904,332349828,351727986
152839,385466762,388496210
175765,442534984,446511002
202130,524177942,519923696
232450,584183132,585332160
267317,677225902,679265978
307415,778765010,788658644
353527,894162222,904695928
406557,1044002020,1520176578
