Size [KB],Latency per mem access [ns]
1,0.00138403
11,0.00225619
23,0.00227609
37,0.0030278
54,0.00437363
74,0.00518945
98,0.00556748
127,0.00599779
162,0.0060534
204,0.00626646
254,0.00641008
314,0.00721345
386,0.00785928
473,0.00870173
577,0.011024
702,0.0139069
852,0.0156501
1032,0.0166924
1248,0.0172333
1507,0.0176966
1818,0.0180291
2191,0.0182419
2639,0.0185232
3176,0.0186211
3821,0.0200287
4595,0.0200313
5524,0.0212847
6638,0.0224128
7975,0.0236749
9580,0.0248746
11506,0.0276368
13817,0.0336861
16590,0.0382287
19918,0.0399677
23911,0.0412094
28703,0.0406591
34453,0.0410754
41353,0.0409159
